customer_id,instrument_symbol,review_date,review_stars
113,SM,2018-09-29,2
924,TANNL,2018-05-25,2
919,CSTM,2018-08-16,3
676,MFV,2019-02-03,5
324,FYX,2018-08-09,3
519,VEDL,2018-08-24,3
861,OC,2018-07-12,3
813,LAZ,2018-06-19,2
404,GWRE,2019-02-03,5
45,CFR^A,2018-10-12,3
824,EMMS,2018-12-27,4
645,JHI,2018-03-28,1
605,ES,2018-10-19,1
614,OFG^D,2018-10-04,5
945,TGA,2018-08-02,3
518,SAEX,2018-09-27,5
379,AYX,2018-04-22,2
589,FTXR,2018-11-29,5
238,MIII,2018-04-06,4
474,MDLQ,2018-08-17,1
771,FLIC,2018-04-05,1
185,MSP,2018-04-01,4
820,BMA,2018-08-24,5
311,GRID,2018-04-16,1
259,EMITF,2018-12-11,5
913,IVR^B,2018-11-23,5
595,TWTR,2019-02-02,3
700,EBR,2018-09-14,2
692,KN,2018-07-21,3
6,BHI,2018-04-11,1
327,BFO,2018-12-24,5
522,SENEA,2019-02-15,1
835,TIME,2018-12-06,2
906,FPL,2018-12-08,4
472,ENR,2019-03-16,1
967,IXUS,2018-08-27,4
600,BRCD,2018-12-29,3
458,ACSF,2018-06-16,4
988,TTGT,2018-10-04,4
813,AMSF,2018-06-16,2
439,MFV,2019-01-29,3
188,PAC,2019-02-17,1
854,IBKCO,2018-09-11,3
689,IMRN,2018-05-19,2
660,CDL,2018-05-31,2
620,ARQL,2018-09-02,2
844,SQZZ,2018-06-19,1
334,JCAP,2019-02-25,2
725,USB^A,2019-02-21,1
285,COBZ,2018-10-13,2
273,CZFC,2018-07-30,2
334,PSA^T,2018-06-14,5
20,RCKY,2019-01-08,4
996,CCV,2018-10-11,3
841,SGEN,2019-03-13,5
899,NYCB,2018-09-09,4
356,FKO,2018-05-21,3
59,FLIR,2018-06-22,5
216,TENX,2018-12-06,3
800,LRGE,2018-10-24,3
872,ADRU,2018-12-08,1
16,BW,2018-05-29,1
780,TSLX,2018-10-28,1
725,ADMA,2018-06-20,2
901,CEA,2019-01-01,5
8,RYAM^A,2018-12-12,5
316,JKS,2018-08-23,3
37,HEAR,2018-08-27,5
915,MIND,2019-01-31,3
682,OTIV,2018-07-09,1
607,ENJ,2018-10-13,4
975,NHTC,2018-05-16,5
249,CCS,2018-06-18,5
935,CCIH,2018-11-22,4
509,MMAC,2018-11-09,4
679,KRC^H,2018-12-01,3
353,CDOR,2019-02-02,3
832,CUBE,2018-10-14,1
11,BBOX,2019-02-24,4
753,NXC,2018-06-23,4
875,FGB,2018-09-29,1
472,ZIONZ,2018-07-15,3
3,KMI^A,2018-04-27,4
565,KSM,2018-07-13,1
969,UBCP,2018-09-28,3
471,EBTC,2019-02-13,5
504,ARTW,2019-01-26,1
47,PCRX,2018-09-28,3
40,NTEST.C,2018-08-28,2
618,NYT,2018-05-04,3
583,AVDL,2018-09-18,1
726,ANTX,2019-01-24,4
801,AOD,2018-05-31,1
432,FOXA,2018-08-18,1
405,REGI,2018-12-20,2
606,LE,2018-07-15,1
660,CLACU,2018-10-18,4
969,USOI,2018-04-10,3
190,AMOV,2018-12-08,2
889,MXIM,2018-06-19,2
369,ATHN,2018-08-08,4
227,SMCP,2018-12-11,1
96,HSBC^A,2018-11-13,4
47,OBSV,2018-08-10,1
412,IMMU,2018-12-15,1
913,EOT,2018-07-09,3
447,GG,2019-01-11,2
358,CDL,2019-01-13,3
137,DBVT,2018-07-24,4
34,MUH,2019-01-29,1
684,ARTX,2018-07-31,4
613,WHLRP,2018-09-06,1
666,RCM,2018-10-15,5
864,CRDT,2018-08-16,4
898,AM,2018-06-28,5
775,NGLS^A,2018-12-03,2
635,TAP,2018-09-25,5
354,AMAT,2018-10-06,1
681,SNA,2018-09-29,2
146,OCIP,2018-12-22,4
127,UNAM,2019-01-16,4
317,LUNA,2018-08-24,4
492,OLBK,2019-03-18,3
346,PXS,2018-12-05,1
841,QRVO,2018-11-18,5
245,AAXN,2018-07-28,4
49,JSYN,2018-08-26,2
977,CORT,2019-03-13,5
820,PTIE,2018-05-17,1
201,GTXI,2018-05-19,5
578,KGC,2019-03-25,2
8,MDWD,2018-06-16,3
969,ICAD,2018-05-05,4
743,KIO,2018-04-15,2
235,AXAS,2019-02-12,4
28,LDR,2018-12-05,5
629,CRR,2019-02-15,5
841,ZEUS,2018-09-16,2
712,HRTG,2019-02-17,2
252,THST,2018-04-08,3
929,PMF,2018-07-22,4
848,MFD,2018-10-09,5
151,PPBI,2019-02-17,2
249,CSFL,2018-08-20,4
676,CCOI,2019-03-16,4
362,CLR,2018-04-08,3
748,VRTX,2019-03-24,1
75,BOKF,2018-05-19,4
602,MITT^B,2018-08-31,4
57,HST,2019-01-24,3
507,POR,2018-04-21,5
277,NAV^D,2018-05-01,4
345,JNJ,2019-03-12,1
172,AZUL,2018-08-03,4
963,ZTO,2018-11-02,2
314,CCO,2018-09-28,4
375,CUZ,2018-09-30,5
651,BWINA,2018-04-05,1
708,MTL,2018-11-10,1
909,ASFI,2019-01-23,4
531,JE,2018-12-08,1
418,BGIO,2018-04-19,2
913,KTH,2018-07-24,4
342,KIRK,2018-10-19,5
485,VLY,2018-04-15,2
353,SNA,2019-03-01,3
202,CDR,2018-10-01,4
888,GJS,2018-06-13,5
236,IRR,2019-03-09,1
511,AHL^C,2018-06-21,5
25,JPI,2018-11-18,4
968,STI^A,2018-09-29,3
821,OVBC,2018-12-29,3
969,FGEN,2019-02-01,1
708,NFG,2019-03-04,3
348,BANF,2018-06-16,1
899,PSO,2018-03-30,5
642,ABR^A,2018-09-17,3
933,ADXSW,2019-02-18,1
24,FLS,2018-09-11,3
956,ONTXW,2018-08-27,2
954,ICB,2019-01-27,2
856,RBPAA,2019-02-20,5
849,PSTG,2019-01-30,1
785,TWI,2018-08-08,1
780,CPF,2019-01-01,5
251,EBIO,2018-09-20,2
373,ESGD,2018-06-15,2
445,GTLS,2018-11-12,2
622,CATYW,2018-05-10,5
168,ADSW,2018-07-13,5
164,CELH,2019-02-25,2
747,WR,2018-06-04,1
397,GLMD,2018-08-27,3
843,UMPQ,2019-01-18,4
528,CGI,2019-01-27,2
514,ORC,2018-12-28,5
559,FIT,2019-01-24,3
393,BAP,2018-06-13,1
732,UFPI,2018-04-08,3
565,TRVN,2018-07-02,3
982,WYIGU,2018-09-26,1
392,PTR,2018-04-09,4
971,TCFC,2018-07-24,2
930,ROIC,2018-12-14,3
665,GLYC,2018-05-22,1
156,EE,2018-07-25,2
984,LNN,2018-08-25,2
895,CFO,2018-09-07,5
130,DLNG^A,2018-06-03,3
705,AT,2018-09-08,4
560,CELGZ,2019-03-27,1
96,DAR,2018-06-14,1
10,TSRI,2019-03-09,1
74,NHI,2018-08-19,2
612,AXDX,2018-05-07,2
381,LPX,2018-06-12,2
131,FLDM,2019-03-14,3
84,CDTI,2018-12-02,1
955,RTN,2019-01-22,4
97,CIGI,2018-11-21,2
622,OII,2018-11-13,4
858,BIP,2018-04-05,4
94,DXPE,2018-09-11,2
103,BWG,2018-11-09,4
106,WFC^T,2018-07-30,4
186,LALT,2018-11-20,4
769,FCE.A,2018-05-16,4
144,TYHT,2018-04-05,5
932,AMH,2018-06-19,4
328,NBTB,2019-02-07,1
527,HSON,2018-04-29,5
348,STT^C,2018-12-06,1
221,INVE,2019-02-20,2
8,EVH,2018-11-22,2
103,RDC,2019-03-07,5
561,CNCE,2018-07-06,2
79,HIO,2019-01-18,4
84,EL,2018-07-18,1
183,JOE,2018-11-13,3
301,DGRE,2018-05-16,5
978,BPL,2019-01-19,3
425,IBTX,2018-11-26,3
849,FFBCW,2018-04-12,1
331,LKQ,2019-01-13,4
877,GDDY,2019-02-05,2
137,HTBX,2019-01-06,1
132,CUBI^E,2019-01-24,3
609,DSXN,2018-04-02,1
10,CFR,2018-07-27,5
160,TCBI,2018-12-22,3
553,SNBC,2019-01-07,4
356,ENO,2018-04-30,1
884,NSA,2018-10-06,5
985,CIM^A,2018-03-30,4
595,ALIM,2018-11-28,3
526,GBAB,2018-10-27,2
241,DGAS,2018-11-15,3
747,IDLB,2018-09-24,5
780,QRVO,2018-05-18,2
169,SYNT,2018-04-05,2
108,VTVT,2018-11-21,1
472,VNO,2019-03-24,1
936,HON,2019-01-18,3
421,SOJB,2018-05-28,5
148,PAAS,2018-04-23,1
664,HCAPL,2018-08-08,4
660,DTQ,2019-02-03,1
75,UFS,2019-03-22,3
893,ARR^A,2018-08-12,2
401,TCBIW,2019-02-02,2
690,DAKT,2019-01-17,3
863,ITI,2019-02-11,5
910,JCTCF,2018-04-07,1
734,SMG,2018-12-28,4
18,PLYA,2019-03-25,5
25,ADRD,2018-09-17,1
766,QCP,2018-05-09,3
1000,JPM^D,2018-05-22,1
150,MBUU,2018-11-03,4
831,IGOV,2018-06-18,5
106,NXRT,2019-01-17,4
112,ADMS,2018-09-26,5
920,IXYS,2018-09-24,2
632,SAN^A,2019-01-29,2
962,WTR,2018-04-25,1
374,FSIC,2018-10-31,1
628,GNRT,2018-05-25,5
177,BAC^W,2018-10-15,3
916,HLX,2019-03-05,1
557,HCC,2019-01-23,4
400,CCCR,2018-04-20,4
539,CYS,2018-04-30,4
905,UBIO,2018-11-14,2
967,UNM,2018-04-06,4
953,TLND,2019-03-27,3
939,UNFI,2018-05-22,5
769,SCWX,2018-08-12,4
703,MUR,2018-05-26,4
165,GGT,2019-01-27,3
837,IRS,2019-03-16,1
589,PBB,2018-08-08,4
904,FWRD,2018-07-14,1
318,IMAX,2019-02-21,5
685,LVNTB,2018-10-03,2
237,CY,2019-01-02,3
946,NXRT,2019-02-09,2
512,CFNB,2018-06-08,2
590,CCO,2018-07-01,1
87,TSM,2018-12-22,1
139,ENB,2018-08-25,1
208,NCI,2019-01-05,2
789,VTVT,2018-09-19,3
310,THFF,2018-09-12,1
160,ZION,2018-12-10,1
208,NMZ,2018-11-11,2
168,ESRT,2018-09-10,5
315,MTL^,2019-01-10,5
574,BPOPM,2018-10-12,3
734,BT,2019-02-18,2
537,NTRS,2018-04-03,3
962,NESRW,2019-03-05,5
59,Y,2018-07-21,2
796,XNET,2018-09-16,2
10,ZTR,2019-01-28,3
318,GXP,2019-01-17,5
677,MMDMU,2018-07-06,4
298,PTLA,2018-10-18,5
79,PRPH,2018-04-26,5
447,FENX,2018-08-13,1
760,GSL,2019-01-28,2
134,AYX,2018-10-29,5
922,ESTE,2018-07-07,1
275,AIV,2018-07-04,2
404,BKMU,2018-12-19,5
386,TGP,2019-02-21,2
645,LINK,2019-01-21,4
358,ADRA,2018-06-15,1
188,MYOK,2018-10-07,2
796,ATOM,2018-08-03,5
555,ENT,2018-11-07,4
808,GPT,2019-01-22,3
537,FSBW,2018-06-25,3
332,ZBIO,2018-04-03,4
857,BAM,2018-06-19,2
898,ARRY,2018-04-02,5
250,MRK,2018-10-21,5
714,STOR,2018-11-11,2
400,EDF,2018-11-20,3
231,MBWM,2018-11-14,2
137,GTYHW,2018-06-18,4
361,MRAM,2019-01-09,2
706,WERN,2018-07-27,3
614,BANC^E,2018-11-16,3
245,NYLD,2018-08-17,2
791,HQH,2018-09-09,3
411,EBMT,2019-02-22,4
148,NBLX,2018-04-30,2
319,BMTC,2018-12-04,2
210,JASN,2019-02-09,2
905,GJS,2018-10-23,3
499,JCE,2018-12-08,3
